Benchmark,Strategy,Sampling time,Approx n combinations,Approx coverage
cq7750.cnf,5,2.2582871198654173,1.9803815304466288e+17,0.8928589533580722
csb281.cnf,3,860.8390137672425,1.8350802773665526e+17,0.8973867588571465
csb281.cnf,5,2.3260310649871827,1.8078207142870064e+17,0.8840563496856627
dreamcast.cnf,3,916.5936912536621,1.9104175465277066e+17,0.8977733531441106
dreamcast.cnf,5,2.2011197090148924,1.893168347531619e+17,0.8896673392258893
e7t.cnf,3,907.1124358415603,2.0971472275700784e+17,0.890150972741549
e7t.cnf,5,2.3936758518218992,2.0755215278663338e+17,0.8809717709313786
ea2468.cnf,3,1169.0299567222596,3.245970786877263e+17,0.8984810919770687
ea2468.cnf,5,2.2095986127853395,3.217024433798201e+17,0.8904687737429143
eb40.cnf,3,935.8700359344482,1.809492515539743e+17,0.8987918646130966
eb40.cnf,5,2.1639366865158083,1.7912301317724e+17,0.889720767707435
eb40a.cnf,3,938.327303981781,1.8184691826061946e+17,0.9010460724577676
eb40a.cnf,5,2.28239426612854,1.7939487235003485e+17,0.8888962578865252
eb42.cnf,3,926.1666024923325,1.7521755984731856e+17,0.9015174824556322
eb42.cnf,5,2.2229076623916626,1.73561299209578e+17,0.8929958027693762
eb55.cnf,3,953.4182362318039,2.06605393461686e+17,0.898420816970981
eb55.cnf,5,2.556091642379761,2.054668427037353e+17,0.8934698440801851
ebsa285.cnf,3,897.0888460397721,1.9428767103376538e+17,0.890643182585742
ebsa285.cnf,5,2.0940735816955565,1.9177678255598176e+17,0.8791329015006267
ec555.cnf,3,940.8762684345245,2.06029807441459e+17,0.8853521803905711
ec555.cnf,5,2.5394731521606446,2.0355147930923933e+17,0.8747022980127145
ecos-icse11.cnf,3,913.3545588970185,1.923652882853684e+17,0.895406211618513
ecos-icse11.cnf,5,2.2644927978515623,1.9170262091544438e+17,0.8923216817401982
edb7xxx.cnf,3,927.5827839136124,1.864859840713794e+17,0.8907983953142344
edb7xxx.cnf,5,1.9104729890823364,1.8345558996792054e+17,0.8763229363784165
edosk2674.cnf,3,873.4849162817002,1.4633725913992982e+17,0.8932893166058459
edosk2674.cnf,5,1.6930346965789795,1.4564080377788262e+17,0.8890379308817582
embtoolkit.cnf,3,-1.0,-1.0,-1
embtoolkit.cnf,5,3.448726034164429,5.2923096872068e+18,0.8984165241871177
excalibur_arm9.cnf,3,917.9286506891251,1.7202104395485382e+17,0.8892564800290308
excalibur_arm9.cnf,5,2.7871132612228395,1.7111841469871866e+17,0.884590371181949
fads.cnf,3,919.7371495723725,1.4018619356317026e+17,0.9022489265413944
fads.cnf,5,1.9362247467041016,1.3841444568956278e+17,0.8908458234509035
financial.cnf,3,1173.4566375255586,2421278648757397.0,0.9156507702955374
financial.cnf,5,1.1327667713165284,2374137458130523.5,0.8978234675469265
flexanet.cnf,3,899.156486940384,2.0852179203247005e+17,0.8944379388852999
flexanet.cnf,5,1.6444180965423585,2.0718045577948397e+17,0.888684381802469
freebsd-icse11.cnf,3,601.2301936149597,5.4669286740355955e+17,0.9740437452995458
freebsd-icse11.cnf,5,8.676020407676697,5.4988354025083904e+17,0.9797285733181553
frv400.cnf,3,872.3422360181809,1.854520847523856e+17,0.8909508563378906
frv400.cnf,5,9.226505136489868,1.834519928370247e+17,0.881341993719147
gps4020.cnf,3,897.4745264053345,1.567162853332308e+17,0.8962061820429317
gps4020.cnf,5,2.4173187732696535,1.5591437943796285e+17,0.8916203598405508
grg.cnf,3,896.1341386318206,1.8532664488179578e+17,0.8912521236111793
grg.cnf,5,2.418987822532654,1.836498357840763e+17,0.8831882012853517
h8300h_sim.cnf,3,878.1394317388534,1.3481116794077866e+17,0.904097178665929
h8300h_sim.cnf,5,2.135444450378418,1.3337216835585058e+17,0.8944466765249904
h8max.cnf,3,846.1269186973572,1.5352993796451053e+17,0.9023125073811561
h8max.cnf,5,1.8708662271499634,1.519666535231181e+17,0.8931249109894426
h8s_sim.cnf,3,865.88243227005,1.3501067609735637e+17,0.9018176747453477
h8s_sim.cnf,5,1.6308987617492676,1.3408952423337357e+17,0.8956647462801551
hs7729pci.cnf,3,942.9087954998016,2.394528564687621e+17,0.8847711269936809
hs7729pci.cnf,5,3.767281723022461,2.368832521200984e+17,0.8752765159498922
innovator.cnf,3,924.0254457235336,1.968360660083759e+17,0.8826786799485458
innovator.cnf,5,3.2011280059814453,1.9658262362502733e+17,0.8815421596303251
integrator_arm7.cnf,3,933.8664947986603,2.0014035093786515e+17,0.8893575515408207
integrator_arm7.cnf,5,2.8279945611953736,1.9875832530474656e+17,0.8832162865361511
integrator_arm9.cnf,3,897.9878232002259,2.095976856470989e+17,0.8904520954778783
integrator_arm9.cnf,5,3.7123943090438845,2.0769932449743994e+17,0.882387122534743
ipaq.cnf,3,953.6352301836014,1.90418880361397e+17,0.897219842124418
ipaq.cnf,5,2.551805353164673,1.9028026390890336e+17,0.896566706094072
iq80310.cnf,3,901.653073310852,2.029839270602666e+17,0.8930573055648945
iq80310.cnf,5,2.6537734031677247,2.0037309875415523e+17,0.8815705867585522
iq80321.cnf,3,894.9838766098022,2.0154057287744733e+17,0.892509753935801
iq80321.cnf,5,2.751425337791443,1.991759693382743e+17,0.8820382558509645
ixdp425.cnf,3,902.2393771409988,1.9243383857064794e+17,0.8977837564727884
ixdp425.cnf,5,8.475400400161742,1.896822300415403e+17,0.8849463602021845
jmr3904.cnf,3,857.3291028499603,1.4795757143136672e+17,0.9035683505050601
jmr3904.cnf,5,2.7470370531082153,1.46324629305243e+17,0.8935960671734413
jtst.cnf,3,892.0761482715607,1.8091241165558304e+17,0.8964156200189359
jtst.cnf,5,2.526544189453125,1.8000317971315286e+17,0.8919104027817336
linux.cnf,3,904.5725682258606,1.7021865583123923e+17,0.893261664636157
linux.cnf,5,2.3995164155960085,1.6939724025554128e+17,0.888951096908296
lpcmt.cnf,3,899.0392563581466,1.8860011373891232e+17,0.899989528413115
lpcmt.cnf,5,1.8653992891311646,1.8688411877769952e+17,0.891800893394373
m5272c3.cnf,3,967.540683054924,2.7253287594361907e+17,0.9032008174325891
m5272c3.cnf,5,2.0855427503585817,2.7100648113089056e+17,0.8981421945497245
mac7100evb.cnf,3,876.6677394390106,1.7665171106774138e+17,0.9020380169513168
mac7100evb.cnf,5,2.0313248157501222,1.744793266775799e+17,0.8909451535110877
mace1.cnf,3,902.2144243717194,1.76150488894018e+17,0.9004492826203934
mace1.cnf,5,2.1545788049697876,1.7462927819469613e+17,0.8926731300163381
malta_mips32_4kc.cnf,3,885.8703487634659,1.7744084730057654e+17,0.896404586395605
malta_mips32_4kc.cnf,5,9.959216165542603,1.751514988012741e+17,0.8848391406380322
malta_mips64_5kc.cnf,3,891.6208625316619,1.763385725298323e+17,0.8905194864632401
malta_mips64_5kc.cnf,5,2.1687654495239257,1.758997181526185e+17,0.8883032477298657
mb93091.cnf,3,892.607793545723,1.956469191856754e+17,0.8948535384694241
mb93091.cnf,5,1.9498039960861206,1.939992892542915e+17,0.8873175778709963
mb93093.cnf,3,868.3276591777801,1.7788380878935475e+17,0.8926133343546234
mb93093.cnf,5,2.243923544883728,1.7652419866029315e+17,0.8857908689544075
mbx.cnf,3,896.0206269502639,2.4414096681748026e+17,0.8932677161359849
mbx.cnf,5,2.0410897493362428,2.4121463499349258e+17,0.8825607963627714
mcb2100.cnf,3,949.8174226522445,1.8869734126060934e+17,0.9007559629826711
mcb2100.cnf,5,2.261141777038574,1.868761836431921e+17,0.8920625782616096
moab.cnf,3,900.238274860382,2.2429793487243312e+17,0.8983836993776743
moab.cnf,5,1.520157551765442,2.207498768884893e+17,0.8841726124185598
mpc50.cnf,3,933.5359098434449,1.577193584198672e+17,0.8965307553118419
mpc50.cnf,5,1.92865948677063,1.5664355174413565e+17,0.8904155023636556
nano.cnf,3,888.4790857553483,2.1282894940827456e+17,0.8945522860781033
nano.cnf,5,2.0459912538528444,2.1026390756019347e+17,0.8837710269708884
npwr.cnf,3,900.9027314424515,2.037890044350497e+17,0.8924548334613708
npwr.cnf,5,2.0971935987472534,2.011764479149275e+17,0.8810136435868837
ocelot.cnf,3,919.5848139286041,2.077982292754955e+17,0.9000275666901256
ocelot.cnf,5,2.0580967903137206,2.0514320414005037e+17,0.8885279700839018
olpce2294.cnf,3,992.6208106994629,2.1851275326962378e+17,0.8998125152516386
olpce2294.cnf,5,7.218992614746094,2.156391036065874e+17,0.8879791284467128
olpch2294.cnf,3,904.0599029302597,2.0069364374633046e+17,0.8994097172953678
olpch2294.cnf,5,2.0200427293777468,1.9816458856643363e+17,0.8880757419789872
olpcl2294.cnf,3,915.7013560295105,2.17325472719939e+17,0.896482066396415
olpcl2294.cnf,5,1.7148743391036987,2.1421149708329366e+17,0.8836367092530055
p2106.cnf,3,935.2727993011474,1.8820835539442637e+17,0.8972162343835285
p2106.cnf,5,2.105007863044739,1.8685888760651478e+17,0.8907831278163173
pati.cnf,3,919.3456938266754,1.887506905545177e+17,0.890540717418427
pati.cnf,5,2.363252067565918,1.8672777596310906e+17,0.8809964460506413
pc_i82544.cnf,3,882.1117727994919,2.067658014092624e+17,0.8999444912402259
pc_i82544.cnf,5,2.0039451837539675,2.0444312109172064e+17,0.8898350662655107
pc_i82559.cnf,3,887.4013333082199,2.0717022811238845e+17,0.8992260271901069
pc_i82559.cnf,5,2.7183884382247925,2.0385865996330877e+17,0.8848521072615603
pc_rltk8139.cnf,3,860.485694527626,2.0905799296313373e+17,0.8900217989966496
pc_rltk8139.cnf,5,2.8864023208618166,2.074935274705671e+17,0.8833614060003011
pc_usb_d12.cnf,3,916.6640956163407,2.2623000659923904e+17,0.8992788128674061
pc_usb_d12.cnf,5,2.7351266622543333,2.2357655813229104e+17,0.8887311847113015
