Benchmark,Strategy,Preprocessing,Sampling time,Coverage time, N combinations, Coverage, Approx Coverage time, Approx n combinations, Approx coverage
am31_sim.cnf,5,-,475.4012643337248,11638.9468135357,2462297.2,0.9775652432144437,157.5343858242036,2457250.4,0.9754709730691058
asb.cnf,1,exact,1308.0862719058998,13373.11492714882,2601103.4,0.9248755681127243,163.3987281799316,2604299.6,0.9261694567097596
asb.cnf,1,approx,1307.169772052766,13372.181625604639,2603755.0,0.9258183987808198,163.29950857162459,2598690.2,0.9241745806400219
asb.cnf,2,-,1303.51361274719,13373.24256429672,2585428.4,0.9193020009372838,163.239240026474,2593730.8,0.9224108646667881
asb.cnf,3,exact,1274.890331602098,13373.113977241519,2604740.4,0.926168777925616,163.427827501297,2605394.4,0.9265588014384558
asb.cnf,3,approx,1293.9235973835002,13372.98251318932,2604861.6,0.92621187306703,163.4424238204956,2599545.4,0.9244787162008379
asb.cnf,4,-,1293.7791247367861,13373.28359861376,2585896.6,0.9194684790330762,163.3200299263002,2588257.8,0.9204644966542244
asb.cnf,5,-,1073.515231513978,13374.52113933562,2759525.6,0.9812058248132722,163.25411868095398,2761228.2,0.9819781187408958
asb2305.cnf,1,exact,778.114275121689,13505.217557621,2622114.6,0.9220969720882684,161.322627210617,2620081.6,0.920717321878373
asb2305.cnf,1,approx,790.3210690975191,13510.62055206298,2621968.2,0.9220454888324587,161.72821054458623,2622135.6,0.9214391136649873
asb2305.cnf,2,-,786.4616140365604,13506.15136766434,2615291.0,0.9196973741077906,161.2946378231048,2621474.2,0.9212066924928033
asb2305.cnf,3,exact,779.1631922721862,13511.460625982281,2631781.4,0.9254964142826646,161.9504137516024,2630109.2,0.9242410995412019
asb2305.cnf,3,approx,780.9831617355348,13506.147120285019,2623698.4,0.9226539337040549,161.2585411071778,2624433.8,0.9222467192560272
asb2305.cnf,4,-,790.064462900162,13504.739708185178,2615295.4,0.9196989214187576,161.1507491588592,2618828.0,0.920276796959338
asb2305.cnf,5,-,649.4644297599795,13507.750466203677,2787866.6,0.980385582859733,161.3402435302734,2788254.2,0.9798144988080244
assabet.cnf,1,exact,895.3265509605408,15162.02026410102,2700240.4,0.9187369240500167,159.8456686019898,2701196.8,0.9178453375086987
assabet.cnf,1,approx,875.1826681613923,15161.771825838101,2698253.8,0.9180609980201281,159.88263602256762,2705140.0,0.9191852057237302
assabet.cnf,2,-,910.3249046325684,15161.932104015359,2691254.4,0.9156795036812552,159.87439785003662,2689475.2,0.9138624304105777
assabet.cnf,3,exact,887.2734610557557,15162.128260564801,2700499.6,0.9188251149424701,159.9691085338592,2700871.2,0.9177347012004173
assabet.cnf,3,approx,892.9338326454159,15162.03500185012,2701542.4,0.919179919968126,159.9461290836334,2704923.2,0.9191115387961031
