Benchmark,Strategy,Sampling time, N combinations,Approx n combinations,Approx coverage
cme555.cnf,3,14.734098434448242,2974856.3,2975206.8,0.9943447606519507
cme555.cnf,5,1.8689928293228149,2971856.6,2971977.2,0.9932653950633129
cq7708.cnf,3,15.162793970108032,2822551.0,2822775.3,0.994809276039787
cq7708.cnf,5,3.756603407859802,2824193.7,2824351.6,0.9953647994857453
cq7750.cnf,3,15.262590384483337,2933778.7,2933862.9,0.995517890299253
cq7750.cnf,5,2.2582871198654173,2935091.9,2935406.8,0.9960417662004863
csb281.cnf,3,11.801155233383179,2861347.8,2861240.0,0.9957874866357804
csb281.cnf,5,2.3260310649871827,2862051.2,2861842.8,0.9959972770402707
dreamcast.cnf,3,14.4595782995224,2896164.7,2895752.2,0.9950327261831458
dreamcast.cnf,5,2.2011197090148924,2895993.5,2895920.6,0.9950905914628783
e7t.cnf,3,13.625857615470887,2988055.3,2988143.7,0.9959416662222697
e7t.cnf,5,2.3936758518218992,2986696.6,2986958.9,0.9955467750106655
ea2468.cnf,3,17.538945889472963,3432233.7,3432229.7,0.9963694460185049
ea2468.cnf,5,2.2095986127853395,3432436.6,3432964.9,0.9965828731142241
eb40.cnf,3,13.87257513999939,2834855.6,2834690.2,0.9950582848445364
eb40.cnf,5,2.1639366865158083,2835394.9,2835210.3,0.9952408549941588
eb40a.cnf,3,15.074434804916383,2837353.3,2837958.4,0.995489852729885
eb40a.cnf,5,2.28239426612854,2840098.6,2840145.0,0.9962568611934267
eb42.cnf,3,14.95906400680542,2806176.2,2806546.2,0.997005374113314
eb42.cnf,5,2.2229076623916626,2806159.0,2806270.0,0.9969072560476537
eb55.cnf,3,14.53165419101715,2960478.5,2960387.4,0.9944971862100103
eb55.cnf,5,2.556091642379761,2963132.0,2963004.5,0.9953763612078603
ebsa285.cnf,3,11.59670672416687,2916894.0,2916746.7,0.9931608958224373
ebsa285.cnf,5,2.0940735816955565,2916087.0,2915984.1,0.9929012282622909
ec555.cnf,3,13.61294207572937,2978994.4,2978945.0,0.9962760193707192
ec555.cnf,5,2.5394731521606446,2978292.3,2978323.4,0.9960681319563356
ecos-icse11.cnf,3,11.997377943992614,2899362.4,2899271.5,0.997294760203857
ecos-icse11.cnf,5,2.2644927978515623,2900414.9,2900182.4,0.9976080926382529
edb7xxx.cnf,3,13.823771858215332,2872052.1,2872274.3,0.9957243063875576
edb7xxx.cnf,5,1.9104729890823364,2870468.5,2870614.4,0.995148872914448
edosk2674.cnf,3,12.90312147140503,2655658.1,2655715.1,0.9971056429618417
edosk2674.cnf,5,1.6930346965789795,2655406.2,2655400.4,0.9969874867839292
embtoolkit.cnf,3,23.566254949569704,8230841.7,8231378.5,0.9965851185725576
embtoolkit.cnf,5,3.448726034164429,8236523.3,8236329.0,0.9971844828988966
excalibur_arm9.cnf,3,14.77150194644928,2800796.8,2800253.9,0.9940468735800617
excalibur_arm9.cnf,5,2.7871132612228395,2799001.3,2799097.6,0.9936364049436569
fads.cnf,3,12.666383147239685,2608213.6,2608141.0,0.9972641720095928
fads.cnf,5,1.9362247467041016,2606373.0,2606463.9,0.99662290616435
financial.cnf,3,22.252464628219606,899834.4,900101.9,0.980486069959565
financial.cnf,5,1.1327667713165284,883825.9,883513.0,0.9624156877440044
flexanet.cnf,3,11.997347116470337,2981523.2,2981639.1,0.9961535865869826
flexanet.cnf,5,1.6444180965423585,2982857.7,2982975.5,0.9966000724320048
freebsd-icse11.cnf,3,14.644460844993592,3765135.5,3765155.3,1
freebsd-icse11.cnf,5,8.676020407676697,3765439.5,3765046.4,1
frv400.cnf,3,20.48020520210266,2864992.3,2865260.2,0.9961216319197224
frv400.cnf,5,9.226505136489868,2867261.6,2867519.6,0.9969071233090068
gps4020.cnf,3,13.654378819465638,2707180.4,2707629.3,0.9959206170550847
gps4020.cnf,5,2.4173187732696535,2707992.3,2707989.8,0.9960532162193972
grg.cnf,3,13.087811183929443,2861039.7,2861088.9,0.9957348998240377
grg.cnf,5,2.418987822532654,2862665.3,2862742.2,0.9963102921195652
h8300h_sim.cnf,3,13.202547454833985,2570679.2,2570785.6,0.9962431795634921
h8300h_sim.cnf,5,2.135444450378418,2572212.4,2572065.2,0.9967390562996032
h8max.cnf,3,11.61883282661438,2690717.6,2690697.0,0.9941860722900113
h8max.cnf,5,1.8708662271499634,2693208.7,2693187.9,0.9951064353362655
h8s_sim.cnf,3,13.315187120437622,2573316.8,2572960.0,0.9962951030927835
h8s_sim.cnf,5,1.6308987617492676,2575927.5,2575727.5,0.9973667274856265
hs7729pci.cnf,3,14.071998000144958,3137712.5,3137299.2,0.9956999512512188
hs7729pci.cnf,5,3.767281723022461,3136523.3,3136480.5,0.9954401164384953
innovator.cnf,3,14.284806537628175,2936955.7,2937111.6,0.9959281412760417
innovator.cnf,5,3.2011280059814453,2939809.7,2939603.2,0.9967730034722223
integrator_arm7.cnf,3,12.947327709197998,2944323.6,2944433.5,0.997718022152585
integrator_arm7.cnf,5,2.8279945611953736,2945268.7,2945613.7,0.9981179316121618
integrator_arm9.cnf,3,13.84557363986969,2986916.0,2986917.7,0.9955330431420649
integrator_arm9.cnf,5,3.7123943090438845,2987133.9,2987653.0,0.9957781170008533
ipaq.cnf,3,15.886597490310669,2884760.7,2884588.6,0.9946967001015183
ipaq.cnf,5,2.551805353164673,2888055.0,2888134.8,0.995919541181144
iq80310.cnf,3,13.362438535690307,2948110.0,2948606.6,0.9963663089316609
iq80310.cnf,5,2.6537734031677247,2950282.2,2950601.7,0.9970404749675607
iq80321.cnf,3,12.382747769355774,2940221.6,2940205.0,0.9959396272329171
iq80321.cnf,5,2.751425337791443,2938933.7,2938758.7,0.9954497200724073
ixdp425.cnf,3,21.046107959747314,2892623.6,2892614.1,0.9946543862786091
ixdp425.cnf,5,8.475400400161742,2892059.4,2892155.4,0.9944966576804577
jmr3904.cnf,3,12.493471360206604,2654478.0,2655135.9,0.9949754997481772
jmr3904.cnf,5,2.7470370531082153,2653650.3,2653227.4,0.9942603157377206
jtst.cnf,3,13.526683855056763,2839355.0,2839684.1,0.9953801162621142
jtst.cnf,5,2.526544189453125,2840091.4,2839978.9,0.9954834510162419
linux.cnf,3,14.544938278198241,2788161.8,2788398.2,0.9970871904751007
linux.cnf,5,2.3995164155960085,2788239.7,2787804.8,0.996875
lpcmt.cnf,3,13.434365963935852,2877899.3,2877811.3,0.9962292086693548
lpcmt.cnf,5,1.8653992891311646,2877008.5,2877123.9,0.9959912472859801
m5272c3.cnf,3,13.023002195358277,3266958.5,3267196.8,0.9973810175054704
m5272c3.cnf,5,2.0855427503585817,3268320.9,3268479.9,0.9977727109545952
mac7100evb.cnf,3,12.629897928237915,2806771.3,2806827.8,0.9952951247049745
mac7100evb.cnf,5,2.0313248157501222,2808393.1,2808640.8,0.9959380106209149
mace1.cnf,3,12.952320575714111,2806207.4,2806137.5,0.9936071980941805
mace1.cnf,5,2.1545788049697876,2807354.0,2807509.4,0.9940929653507976
malta_mips32_4kc.cnf,3,21.649578762054443,2827883.4,2827915.3,0.995184156813063
malta_mips32_4kc.cnf,5,9.959216165542603,2828021.1,2827912.0,0.9951829954954955
malta_mips64_5kc.cnf,3,11.451302742958068,2828502.6,2827982.8,0.9955666738013698
malta_mips64_5kc.cnf,5,2.1687654495239257,2828973.9,2829026.3,0.9959340288730172
mb93091.cnf,3,12.352257132530212,2916074.7,2915725.3,0.9945469746005065
mb93091.cnf,5,1.9498039960861206,2918241.7,2918110.0,0.9953603901065317
mb93093.cnf,3,11.850694918632508,2829128.5,2829152.0,0.9974165162454873
mb93093.cnf,5,2.243923544883728,2830089.5,2829558.3,0.9975597571638086
mbx.cnf,3,12.017828607559204,3139434.5,3139243.5,0.9959933334856238
mbx.cnf,5,2.0410897493362428,3140231.6,3140386.7,0.9963560385700942
mcb2100.cnf,3,13.513884687423706,2878705.5,2878835.6,0.9965837967476072
mcb2100.cnf,5,2.261141777038574,2877008.5,2876727.3,0.9958539538838177
moab.cnf,3,12.99180691242218,3049801.3,3049922.6,0.9961337923285953
moab.cnf,5,1.520157551765442,3048825.4,3048822.2,0.9957743911998328
mpc50.cnf,3,13.686485052108765,2708051.7,2707323.9,0.9939364646968984
mpc50.cnf,5,1.92865948677063,2709653.4,2710217.6,0.99499882518797
nano.cnf,3,11.691521596908569,3004429.5,3005139.1,0.9954905537122626
nano.cnf,5,2.0459912538528444,3005801.7,3005959.1,0.9957621891430631
npwr.cnf,3,12.971297454833984,2948781.1,2948790.1,0.9953950335400104
npwr.cnf,5,2.0971935987472534,2949442.4,2950198.3,0.9958703862232111
ocelot.cnf,3,14.087491488456726,2974345.7,2974657.3,0.9955239100518334
ocelot.cnf,5,2.0580967903137206,2974407.9,2975069.0,0.995661693047464
olpce2294.cnf,3,23.119414162635803,3026916.0,3026956.2,0.9962965669236603
olpce2294.cnf,5,7.218992614746094,3026094.5,3026316.9,0.9960861468339232
olpch2294.cnf,3,13.546436595916749,2933645.2,2933334.5,0.9943021425394828
olpch2294.cnf,5,2.0200427293777468,2935287.6,2935488.7,0.9950323441838772
olpcl2294.cnf,3,12.830636548995972,3020900.1,3021110.5,0.9953789550122301
olpcl2294.cnf,5,1.7148743391036987,3021975.0,3021709.5,0.9955763102543016
p2106.cnf,3,13.064161276817321,2877165.8,2877639.6,0.9958167689138909
p2106.cnf,5,2.105007863044739,2877008.5,2876774.3,0.9955173289666016
pati.cnf,3,12.117605686187744,2888426.5,2888211.1,0.9962976518345991
pati.cnf,5,2.363252067565918,2890543.0,2891302.5,0.9973640401470328
pc_i82544.cnf,3,11.522377228736877,2964957.4,2964873.0,0.9966897724827883
pc_i82544.cnf,5,2.0039451837539675,2967405.6,2967958.0,0.9977268448795181
pc_i82559.cnf,3,11.801214027404786,2968151.9,2968482.7,0.9951626799583763
pc_i82559.cnf,5,2.7183884382247925,2965395.1,2965628.0,0.9942056621180914
pc_rltk8139.cnf,3,11.034262990951538,2985794.8,2986055.1,0.9966060948714115
pc_rltk8139.cnf,5,2.8864023208618166,2986690.9,2986907.3,0.9968905195339199
pc_usb_d12.cnf,3,14.469469118118287,3041078.1,3041728.2,0.9944552043228992
pc_usb_d12.cnf,5,2.7351266622543333,3043037.9,3042517.4,0.9947132234474388
pc_vmWare.cnf,3,13.047852420806885,2947193.5,2947275.4,0.9952277430195366
pc_vmWare.cnf,5,2.7827245235443114,2947085.6,2947068.4,0.9951578438364453
phycore.cnf,3,14.538971447944641,2996235.9,2995822.0,0.9961210152791965
phycore.cnf,5,2.7418645143508913,2998660.3,2998862.6,0.9971320251319373
phycore229x.cnf,3,17.62438006401062,3337519.0,3337525.1,0.9961191489818918
phycore229x.cnf,5,3.251095509529114,3339936.2,3340037.8,0.9968690904836491
picasso.cnf,3,13.17822003364563,2877338.4,2876847.7,0.9951900751084839
picasso.cnf,5,3.2088708162307737,2878522.4,2878346.8,0.9957086598919589
pid.cnf,3,13.391008067131043,2775843.0,2775796.5,0.9951317068763766
pid.cnf,5,2.6603595495223997,2778373.7,2778899.9,0.9962442854602606
prpmc1100.cnf,3,13.64239149093628,2753677.2,2753933.7,0.9949642541273586
prpmc1100.cnf,5,2.1543176651000975,2753815.5,2753693.0,0.9948772920135035
psim.cnf,3,12.553892707824707,2581445.2,2581888.8,0.9961974639470564
psim.cnf,5,2.159548616409302,2583335.2,2583678.5,0.9968880028274397
rattler.cnf,3,21.58132996559143,3256357.5,3257085.4,0.9961626874217037
rattler.cnf,5,8.136149549484253,3256107.7,3256362.6,0.9959416227881304
ref4955.cnf,3,13.118883275985718,2741771.2,2742036.2,0.9954534299488849
ref4955.cnf,5,2.872286820411682,2741381.5,2741636.6,0.9953083614079926
refidt334.cnf,3,11.682866978645325,3011891.8,3012439.1,0.9968942929833108
refidt334.cnf,5,3.1607847213745117,3010681.5,3010557.2,0.9962715234242631
sa1100mm.cnf,3,12.871289134025574,2749925.7,2749579.5,0.9956011236443271
sa1100mm.cnf,5,2.596487879753113,2751025.7,2751161.4,0.9961739171996663
sam7ex256.cnf,3,14.997703528404235,3237569.8,3238020.0,0.9953191395184136
sam7ex256.cnf,5,2.6110579490661623,3239429.0,3238662.8,0.9955167266682404
se7751.cnf,3,13.17018449306488,3100639.3,3100225.8,0.9972214287919959
se7751.cnf,5,1.725523591041565,3101629.9,3101749.7,0.9977116078413208
sh4_202_md.cnf,3,12.686843132972717,2943150.0,2943568.0,0.9967330530513177
sh4_202_md.cnf,5,1.8761813163757324,2941930.0,2941557.3,0.9960522020739424
sh7708.cnf,3,15.271464657783508,2887520.8,2888071.1,0.9966013899624558
sh7708.cnf,5,3.0746423244476317,2889268.4,2889257.3,0.9970107180322437
skmb91302.cnf,3,12.522441387176514,2745794.6,2746060.1,0.9980272855996465
skmb91302.cnf,5,2.1636917352676392,2745674.3,2745664.9,0.9978836542263677
sleb.cnf,3,13.108655071258545,2615561.4,2615758.3,0.9970536552863972
sleb.cnf,5,2.319613218307495,2617460.9,2617481.1,0.9977103382977167
smdk2410.cnf,3,15.903755640983581,2952699.0,2952816.7,0.9964098336536801
smdk2410.cnf,5,3.30056631565094,2950760.7,2950776.9,0.9957215156897892
snds.cnf,3,13.21808934211731,2747830.6,2747648.4,0.9945331321812453
snds.cnf,5,2.305183243751526,2747402.1,2747214.5,0.9943760786346367
sparc_erc32.cnf,3,12.563589954376221,2524448.2,2524577.4,0.9961242897727273
sparc_erc32.cnf,5,1.8985254764556885,2525608.7,2525473.5,0.9964778645833333
sparc_leon.cnf,3,12.830264234542847,2525558.2,2525266.4,0.9943872857862903
sparc_leon.cnf,5,2.225486946105957,2526668.3,2527243.9,0.9951659762474798
sparclite_sim.cnf,3,12.660092306137084,2525628.3,2525241.6,0.9967891067097817
sparclite_sim.cnf,5,2.2276617288589478,2526957.8,2527180.8,0.997554567502021
stb.cnf,3,14.026225829124451,2904987.5,2905252.8,0.9951458917923535
stb.cnf,5,1.8735700130462647,2905125.2,2905363.6,0.9951838444843915
stdeval1.cnf,3,12.744238686561584,2622787.0,2623194.3,0.9967755578185797
stdeval1.cnf,5,2.1996726989746094,2625318.1,2625413.8,0.9976189354328793
stm3210e_eval.cnf,3,13.049121356010437,2993494.7,2992819.2,0.9958006814310052
stm3210e_eval.cnf,5,2.4053515195846558,2995732.9,2995531.8,0.9967032447827938
toybox.cnf,3,25.491918015480042,256494.0,256494.0,1
toybox.cnf,5,0.9822358369827271,256494.0,256494.0,1
ts1000.cnf,3,12.514126062393188,3155969.4,3156254.2,0.9981475039467294
ts1000.cnf,5,2.398989748954773,3155429.7,3155099.0,0.9977821784933614
ts6.cnf,3,11.57269880771637,2885441.0,2885184.4,0.9945509673932227
ts6.cnf,5,1.8758485555648803,2886268.0,2886422.9,0.9949778903216555
tx39_sim.cnf,3,12.998575925827026,2558672.6,2558123.5,0.9940976842295066
tx39_sim.cnf,5,1.579578971862793,2562733.5,2562639.1,0.9958524656162953
uClinux-config.cnf,3,-1.0,0.0,-1.0,-1
uClinux-config.cnf,5,23.66103312969208,132574650.9,132629183.7,0.9905828377923952
uClinux.cnf,3,85.85104737281799,3013528.0,3013956.3,0.9987501524325585
uClinux.cnf,5,2.9624811172485352,3013528.0,3012350.8,0.9982181296657617
uE250.cnf,3,13.896888089179992,2882662.8,2882964.1,0.9944876824112505
uE250.cnf,5,2.4409805059432985,2882839.9,2882969.9,0.9944896831397916
vads.cnf,3,17.99766767024994,2886248.3,2886148.3,0.9955860823803425
vads.cnf,5,7.956390118598938,2886210.7,2886459.7,0.9956935008058108
viper.cnf,3,12.237935853004455,3172257.4,3171675.6,0.9940113777679718
viper.cnf,5,2.1494319438934326,3173092.1,3173843.6,0.9946908346036586
vrc4373.cnf,3,12.594876527786255,2874766.0,2874997.5,0.995255138636565
vrc4373.cnf,5,1.9065889835357666,2871777.3,2871191.4,0.9939375581575682
vrc4375.cnf,3,12.25256860256195,2956180.4,2956047.1,0.9944074220095591
vrc4375.cnf,5,2.0228423357009886,2957330.5,2957233.4,0.9948064905916293
