Benchmark,Uniform Combinations,Uniform Coverage,Baital_waps_strategy_5 Combinations,Baital_waps_strategy_5 Coverage,Baital_cmsgen_strategy_5 Combinations,Baital_cmsgen_strategy_5 Coverage
linux.cnf,2226729,0.7958868337791605,2729415,0.9755589757080216,2788240,0.9965844543347693
lpcmt.cnf,2250870,0.7794084394967868,2811665,0.9735948455653738,2877008,0.9962211570191843
m5272c3.cnf,2564649,0.782541475034731,3207710,0.9787562020704029,3268321,0.9972502031377343
mac7100evb.cnf,2230168,0.7915313238233691,2757568,0.9787161548246411,2808393,0.9967549660412502
mace1.cnf,2216309,0.7866124869389424,2750582,0.9762366833999636,2807354,0.9963862041159368
malta_mips32_4kc.cnf,2192072,0.7724669677262483,2764040,0.9740234798282446,2828021,0.9965698236810436
malta_mips64_5kc.cnf,2227638,0.784978261589649,2765224,0.974413584445038,2828974,0.9968779005396369
mb93091.cnf,2300516,0.7856132521669525,2871486,0.9805962901418089,2918242,0.9965632007037516
mb93093.cnf,2223986,0.7831653602090333,2779611,0.9788258784254896,2830090,0.9966018015733835
mbx.cnf,2458505,0.7798726955974475,3058665,0.9702519695829649,3140232,0.9961261801954293
mcb2100.cnf,2250870,0.7794084394967868,2811665,0.9735948455653738,2877008,0.9962211570191843
moab.cnf,2400608,0.7840988445963469,2993141,0.9776349990560534,3048825,0.9958227915080086
mpc50.cnf,2157995,0.7934540258876925,2662955,0.9791182859588462,2709653,0.9962882590592952
nano.cnf,2349520,0.7789503836534203,2926711,0.9703099596056579,3005802,0.9965314707200696
npwr.cnf,2332852,0.787895163104308,2902023,0.9801264224723443,2949442,0.9961416693629499
ocelot.cnf,2341648,0.7841750975929037,2915350,0.9762974071113472,2974408,0.9960748514213552
olpce2294.cnf,2382508,0.7842937676424356,2947658,0.9703345376138786,3026094,0.996154751421682
olpch2294.cnf,2259561,0.7670556213186482,2864248,0.972329372497886,2935288,0.9964453982827516
olpcl2294.cnf,2339379,0.7713017391536574,2951606,0.9731552010582167,3021975,0.9963561155241941
p2106.cnf,2250870,0.7794084394967868,2807344,0.972098613500854,2877008,0.9962211570191843
pati.cnf,2194294,0.7563904533839456,2824263,0.9735457377386542,2890543,0.9963929766456958
pc_i82544.cnf,2348051,0.7886161631902928,2899949,0.9739765677268196,2967406,0.996632668688991
pc_i82559.cnf,2345495,0.7877577052977196,2893484,0.9718052335032337,2965395,0.9959572544393961
pc_rltk8139.cnf,2360764,0.787564248281347,2917639,0.9733409039579309,2986691,0.9963770424589941
pc_usb_d12.cnf,2445134,0.8005991886396453,2994097,0.9803436657902578,3043038,0.9963681965076797
pc_vmWare.cnf,2352894,0.7950790062990801,2892566,0.9774424606185,2947086,0.995865605657514
phycore.cnf,2356750,0.7834575518426669,2889725,0.9606351433111491,2998660,0.996848550931805
phycore229x.cnf,2637509,0.7866095796342927,3264400,0.9735732889473306,3339936,0.9961011139546598
picasso.cnf,2295017,0.7944226061576123,2830319,0.9797179699485481,2878522,0.9964034903105391
pid.cnf,2156285,0.7734447243048347,2723368,0.9768535290745931,2778374,0.9965838061507272
prpmc1100.cnf,2176765,0.787674405308565,2708554,0.9801051841591238,2753816,0.9964834881713053
psim.cnf,2032175,0.7841276443700856,2532018,0.976995243934531,2583335,0.9967962346593159
rattler.cnf,2485238,0.7601271508238409,3186812,0.9747083884003165,3256108,0.995903047038036
ref4955.cnf,2155255,0.7829364744927317,2689049,0.9768470755424327,2741382,0.9958580113804788
refidt334.cnf,2372179,0.7849013190111783,2950664,0.9763091510205594,3010682,0.9961677735631301
sa1100mm.cnf,2193109,0.7945278482117853,2693037,0.9756436605589242,2751026,0.9966521354637069
sam7ex256.cnf,2543334,0.7822622341219007,3187812,0.9804866120928688,3239429,0.9963626353515797
se7751.cnf,2372705,0.7621916843639406,3035217,0.9750125521883531,3101630,0.9963466145069568
sh4_202_md.cnf,2239141,0.7581064715328463,2886333,0.9772264124049421,2941930,0.99604990118828
sh7708.cnf,2266940,0.7814574239213654,2827870,0.9748206857634131,2889268,0.9959857465563428
skmb91302.cnf,2124831,0.7710463404863095,2704247,0.9813014555609745,2745674,0.9963342448733133
sleb.cnf,2046260,0.7795775120083875,2563410,0.9765996452344379,2617461,0.9971918202764977
smdk2410.cnf,2299356,0.7760135212667008,2903445,0.9798885332476555,2950761,0.995857289617811
snds.cnf,2185560,0.7926794768567884,2707053,0.9818194677170152,2747402,0.9964536229045619
sparc_erc32.cnf,1975903,0.7795725397084666,2488129,0.9816661261470261,2525609,0.9964534809859393
sparc_leon.cnf,1975903,0.7795725397084666,2488129,0.9816661261470261,2526668,0.9968712987227166
sparclite_sim.cnf,1975903,0.7795725397084666,2488129,0.9816661261470261,2526958,0.9969857152889728
stb.cnf,2239360,0.767758109019896,2829960,0.9702436134439952,2905125,0.9960137166272621
stdeval1.cnf,2024541,0.7686056117513602,2573829,0.9771397136873947,2625318,0.9966872231443362
stm3210e_eval.cnf,2292279,0.7630405127860305,2925214,0.9737282375177172,2995733,0.9972021924425576
toybox.cnf,246624,-1,256494,-1,256494,-1
ts1000.cnf,2477110,0.7820923023686526,3076579,0.9713612853401935,3155430,0.9962567321043947
ts6.cnf,2223663,0.7677535386234413,2824966,0.9753625630281695,2886268,0.9965280127499547
tx39_sim.cnf,2033476,0.7908689821685817,2514041,0.9777725661872003,2562734,0.9967104751414908
uClinux-config.cnf,118248742,-1,-1,-1,132574651,-1
uClinux.cnf,3013528,-1,3013528,-1,3013528,-1
uE250.cnf,2293083,0.7924403306772165,2837441,0.9805587867151306,2882840,0.9962477079501731
vads.cnf,2244660,0.775003072860633,2828726,0.9766607603293002,2886211,0.996508332631294
viper.cnf,2485319,0.7809459199163411,3101330,0.9745111230446257,3173092,0.9970604380842791
vrc4373.cnf,2287286,0.7929270185824016,2788020,0.9665150691029051,2871777,0.9955508732373273
vrc4375.cnf,2347397,0.7906430239153485,2867377,0.9657810851702205,2957330,0.9960787774354221
