Benchmark,Strategy,Sampling time,Approx coverage
pc_i82559.cnf,5,2.7183884382247925,1300741314983.7
pc_rltk8139.cnf,3,118.63146929740905,1317134296363.7
pc_rltk8139.cnf,5,2.8864023208618166,1318547860021.9
pc_usb_d12.cnf,3,130.4174426794052,1377962930926.6
pc_usb_d12.cnf,5,2.7351266622543333,1376150439514.1
pc_vmWare.cnf,3,123.39899604320526,1288015412193.3
pc_vmWare.cnf,5,2.7827245235443114,1286033871925.5
phycore.cnf,3,133.2926820755005,1329905612184.9
phycore.cnf,5,2.7418645143508913,1331975137153.3
phycore229x.cnf,3,156.17587280273438,1655362398043.2
phycore229x.cnf,5,3.251095509529114,1654126903788.0
picasso.cnf,3,134.3432997226715,1229155566913.9
picasso.cnf,5,3.2088708162307737,1229256442523.3
pid.cnf,3,131.29232037067413,1139148990939.9
pid.cnf,5,2.6603595495223997,1142343134203.4
prpmc1100.cnf,3,127.2322523355484,1128217473840.5
prpmc1100.cnf,5,2.1543176651000975,1123262913136.6
psim.cnf,3,121.78058919906616,986343399927.3
psim.cnf,5,2.159548616409302,986049940067.3
rattler.cnf,3,125.06522102355957,1567103666618.1
rattler.cnf,5,8.136149549484253,1561347751261.2
ref4955.cnf,3,129.62604563236238,1113327979443.2
ref4955.cnf,5,2.872286820411682,1110167003173.8
refidt334.cnf,3,115.10275738239288,1339670502753.8
refidt334.cnf,5,3.1607847213745117,1335886688960.5
sa1100mm.cnf,3,125.77136764526367,1121062440506.6
sa1100mm.cnf,5,2.596487879753113,1120066614215.8
sam7ex256.cnf,3,143.60648744106294,1559569836632.5
sam7ex256.cnf,5,2.6110579490661623,1559721725251.8
se7751.cnf,3,131.46964039802552,1425170155108.0
se7751.cnf,5,1.725523591041565,1419892901683.1
sh4_202_md.cnf,3,131.5298142671585,1277774003660.3
sh4_202_md.cnf,5,1.8761813163757324,1276280724760.6
sh7708.cnf,3,133.83850388526918,1235985091952.4
sh7708.cnf,5,3.0746423244476317,1234833048244.2
skmb91302.cnf,3,128.94739444255828,1113055726064.9
skmb91302.cnf,5,2.1636917352676392,1111932667351.3
sleb.cnf,3,126.32363433837891,1012837385363.5
sleb.cnf,5,2.319613218307495,1012664074549.3
smdk2410.cnf,3,140.71234629154205,1286587106428.2
smdk2410.cnf,5,3.30056631565094,1287079683236.3
snds.cnf,3,125.04817852973937,1117766067971.6
snds.cnf,5,2.305183243751526,1117376435637.6
sparc_erc32.cnf,3,120.04975244998931,944376208324.5
sparc_erc32.cnf,5,1.8985254764556885,941049571737.4
sparc_leon.cnf,3,119.3965159893036,942982776704.8
sparc_leon.cnf,5,2.225486946105957,943624330891.7
sparclite_sim.cnf,3,119.61805217266082,944744065729.7
sparclite_sim.cnf,5,2.2276617288589478,943211965604.1
stb.cnf,3,132.34874427318573,1251332855424.7
stb.cnf,5,1.8735700130462647,1246669713865.1
stdeval1.cnf,3,123.51024641990662,1018925938085.2
stdeval1.cnf,5,2.1996726989746094,1019369780114.0
stm3210e_eval.cnf,3,129.29453344345092,1331511757020.8
stm3210e_eval.cnf,5,2.4053515195846558,1333965653282.7
toybox.cnf,3,172.66392323970794,10645733095.7
toybox.cnf,5,0.9822358369827271,10649352299.6
ts1000.cnf,3,131.20193908214569,1473458773286.2
ts1000.cnf,5,2.398989748954773,1472514240811.1
ts6.cnf,3,119.62775671482086,1235000919442.0
ts6.cnf,5,1.8758485555648803,1229520865252.6
tx39_sim.cnf,3,123.42527096271515,972811406963.4
tx39_sim.cnf,5,1.579578971862793,970912388021.4
