Benchmark,Strategy,Preprocessing,Sampling time,Approx Coverage time,Approx n combinations,Approx coverage
pc_vmWare.cnf,3,approx,4722.353149938584,719.0994583129883,521588613339671.2,0.8623168922290743
pc_vmWare.cnf,4,-,4758.15559463501,719.0533656597138,443484050082052.4,0.7331904455722367
pc_vmWare.cnf,5,-,3237.9200225830077,706.735184431076,483066595249638.8,0.798630327621966
phycore.cnf,3,approx,1969.1484148979187,746.800519657135,514629805425612.4,0.8161344052467783
phycore.cnf,4,-,2041.5885598182679,761.4559333801269,419498590991432.0,0.6652689553756165
phycore.cnf,5,-,895.6731564044952,731.244972896576,490585597217453.2,0.778003489861171
phycore229x.cnf,3,approx,5108.625430727005,824.3995986461639,712697277191252.8,0.861101823412071
phycore229x.cnf,4,-,5117.589802455902,824.8465185165405,600059324072398.2,0.7250093337672411
phycore229x.cnf,5,-,3631.7103972911837,809.9705017566681,638822527279226.6,0.7718441765973412
picasso.cnf,3,approx,3262.4455309391024,731.8715718746186,489236158944195.6,0.857336598218659
picasso.cnf,4,-,3364.2356974601744,734.2423272132874,419899340430182.4,0.7358308774551021
picasso.cnf,5,-,2101.9013945102693,725.7637083053589,453984289179145.4,0.7955612826523731
pid.cnf,3,approx,3458.9253400325774,767.1188143730163,452021683798501.4,0.8712293011946276
pid.cnf,4,-,3402.9729907989504,755.8155551910401,381132007825255.6,0.7345961150583273
pid.cnf,5,-,2242.594553613663,760.7598944664002,407618778190739.2,0.7856468749300805
prpmc1100.cnf,3,approx,1943.929240179062,765.4358030319214,444607542261053.8,0.8743096303885659
prpmc1100.cnf,4,-,1916.5414933681488,761.7581196784973,382362813308396.8,0.7519069251004933
prpmc1100.cnf,5,-,933.0289294719696,769.0055908679963,414954982650176.4,0.8159986123126763
psim.cnf,3,approx,2375.009353494644,756.2205851078033,372527418317694.6,0.8643155949619656
psim.cnf,4,-,2405.8365646362304,751.603535079956,319086946311048.8,0.7403262425377595
psim.cnf,5,-,1351.3697516441346,757.4885981559753,341604403884805.2,0.7925698863151271
rattler.cnf,3,approx,4984.350343704224,824.8131299972534,614943680975521.6,0.7958563069882301
rattler.cnf,4,-,5125.925445699691,843.0338762283325,506914657309324.2,0.656045812983095
rattler.cnf,5,-,3502.768705320358,820.1291488647461,596822842161053.2,0.7724044295162411
ref4955.cnf,3,approx,5928.906573867798,761.9683134555817,430182977911325.4,0.8554230974654301
